study_hours,attendance_rate,assignments_completed,participation_score,parent_education,final_score,top_student
9.0,75.9,13,7.3,3,5326.95,1
8.9,90.8,9,6.3,1,5453.23,1
2.8,50.9,0,8.8,4,5653.78,1
8.8,58.4,19,9.6,3,6120.36,1
42.3,82.1,2,4.6,2,3196.83,0
25.9,58.1,9,5.5,1,2459.85,0
42.5,73.5,15,1.1,1,3128.25,0
48.1,54.1,19,0.2,5,3095.24,0
5.1,90.9,1,2.2,1,1657.98,0
35.4,79.0,13,4.5,3,3011.02,0
31.2,56.3,9,5.9,5,3612.42,0
24.6,55.3,11,7.6,2,5244.75,1
40.5,96.2,11,8.4,5,5371.61,1
44.6,86.0,7,2.3,4,3048.59,0
47.1,71.5,18,2.8,3,3094.17,0
14.2,73.6,3,8.4,4,6316.55,1
24.0,95.0,0,2.8,4,1634.41,0
4.2,99.7,1,6.6,5,4401.37,1
49.9,67.2,18,9.2,1,6985.37,1
22.7,78.4,8,1.5,2,423.04,0
28.1,88.9,16,3.1,3,2772.05,0
42.4,91.8,8,6.6,2,2966.6,0
37.5,89.0,0,8.5,5,6797.84,1
40.1,59.1,10,9.6,1,5811.6,1
39.7,65.5,6,7.4,1,5003.75,1
20.7,99.2,17,9.9,1,7254.89,1
46.9,69.4,9,6.2,2,3850.23,0
45.1,61.8,19,5.9,3,3265.85,0
24.1,89.5,12,0.5,4,2246.61,0
29.4,69.6,15,3.6,1,3183.16,0
43.5,89.8,5,6.3,1,5599.49,1
27.5,78.6,9,9.9,2,6272.73,1
42.9,71.4,17,3.9,3,2423.99,0
41.8,66.4,12,7.3,3,5118.37,1
1.6,75.8,5,1.1,2,1618.05,0
8.7,99.2,12,3.1,5,3444.44,0
25.0,61.6,6,0.3,3,0.0,0
40.1,66.9,6,5.7,2,3085.93,0
16.5,64.0,6,0.6,1,845.72,0
7.0,50.7,10,7.1,5,3974.38,1
17.7,84.3,8,4.1,5,4198.54,1
6.0,54.4,16,1.2,1,3042.12,0
44.4,82.4,10,4.8,4,2740.23,0
16.6,73.1,0,2.9,1,2528.93,0
22.1,71.0,10,5.5,4,4573.73,1
45.0,79.5,12,4.1,3,2926.13,0
30.2,54.1,15,1.4,2,2540.05,0
42.6,55.8,8,3.7,4,2799.24,0
6.1,50.4,12,7.9,5,7408.76,1
10.0,87.7,11,8.5,1,5368.26,1
45.6,86.4,8,3.0,4,3536.58,0
18.4,69.7,13,8.0,5,6113.5,1
25.4,95.2,1,5.5,3,2776.32,0
24.9,93.7,0,2.0,2,2428.14,0
5.0,76.6,12,0.9,2,248.56,0
29.0,88.2,19,3.1,3,2777.31,0
2.3,63.1,13,8.4,5,7131.87,1
3.4,64.4,13,9.9,1,6192.29,1
35.4,66.3,1,6.0,5,5155.12,1
41.5,67.2,1,4.0,1,167.06,0
5.9,67.9,14,9.5,2,7330.58,1
19.2,77.6,6,6.7,4,4196.93,1
45.8,76.2,18,6.3,1,5060.48,1
31.1,80.3,17,2.9,4,2225.41,0
41.0,91.1,9,3.7,3,2445.75,0
40.1,58.7,1,6.2,2,3576.05,0
14.0,81.1,0,9.6,4,6321.84,1
6.6,64.6,1,9.6,4,5133.38,1
32.1,56.1,2,7.0,2,4086.23,1
15.2,51.9,13,0.2,5,2869.97,0
45.2,65.7,5,7.3,4,6451.25,1
37.2,50.4,5,1.2,2,1744.42,0
7.8,83.2,15,9.4,4,5959.59,1
47.7,99.7,12,5.6,2,3421.78,0
30.7,50.1,19,4.6,2,4230.3,1
34.8,64.2,5,7.5,4,4882.87,1
1.9,77.5,3,8.7,3,5524.74,1
37.7,63.8,2,6.7,5,5737.22,1
37.8,78.4,13,5.7,5,6500.99,1
25.6,61.1,13,0.4,3,908.53,0
48.1,68.1,13,4.4,3,2380.09,0
32.8,83.9,10,5.4,1,5967.41,1
12.5,96.1,8,6.6,5,5342.41,1
29.9,85.3,13,0.6,1,885.65,0
9.0,86.1,16,0.6,4,861.47,0
22.2,67.3,8,3.0,4,3591.2,0
6.7,62.5,19,8.3,4,3653.67,0
3.4,91.4,6,5.8,5,4206.2,1
4.6,65.7,15,5.0,4,4265.87,1
0.4,58.2,0,2.9,5,3086.32,0
34.9,74.9,14,9.9,2,5545.49,1
21.8,50.7,4,3.0,3,919.45,0
44.1,91.0,6,0.7,5,857.61,0
38.8,92.6,4,9.5,4,6896.89,1
18.0,52.3,11,9.4,1,6662.09,1
24.0,90.8,13,3.0,3,3685.13,0
18.5,83.5,5,1.5,3,1370.68,0
36.7,78.5,7,3.4,1,667.09,0
0.3,51.6,5,8.1,2,5346.76,1
23.5,63.2,16,5.8,1,5053.47,1
45.3,99.9,13,3.3,2,2175.62,0
18.0,61.3,14,5.3,4,4238.71,1
26.1,88.3,16,7.3,4,6419.86,1
1.4,64.6,12,0.6,2,2150.23,0
3.0,57.7,3,5.8,3,2533.04,0
41.7,92.9,2,9.0,2,5750.96,1
0.5,51.5,6,4.8,5,2244.57,0
9.8,71.7,12,9.0,5,6707.04,1
2.9,83.5,9,2.7,2,2397.49,0
40.8,63.2,17,8.8,1,5677.59,1
2.9,62.7,5,1.4,3,1650.07,0
40.2,58.6,8,7.8,4,5334.75,1
26.5,95.7,10,1.0,2,916.68,0
28.4,78.8,6,5.4,2,3991.17,1
6.5,60.9,14,3.3,3,4662.0,1
28.9,80.6,14,6.8,2,3980.95,1
31.3,97.1,1,3.7,1,996.5,0
17.2,78.6,5,4.3,1,3369.64,0
31.8,75.3,12,5.4,3,4334.94,1
32.4,98.5,8,4.5,1,4101.41,1
6.2,88.5,17,9.2,1,5214.65,1
13.6,65.5,5,7.3,1,3504.69,0
7.5,82.0,17,9.7,5,7957.25,1
29.0,54.7,6,9.8,3,6537.68,1
48.3,89.4,14,4.9,4,2970.99,0
29.9,98.0,10,0.4,3,1297.5,0
19.6,89.4,9,5.9,4,3738.17,0
17.4,88.9,3,0.3,4,2596.94,0
25.6,55.6,0,8.1,4,6781.71,1
36.3,65.7,18,2.5,1,1698.23,0
28.4,53.1,18,9.5,2,7346.76,1
18.7,57.3,18,2.8,2,4391.75,1
42.8,78.1,11,8.7,1,4451.01,1
3.0,55.2,11,3.2,1,3046.05,0
45.4,71.5,9,4.7,2,3006.96,0
5.1,87.1,12,2.3,4,2457.74,0
17.0,87.6,4,0.8,1,1624.36,0
34.2,72.2,10,0.7,3,833.44,0
19.4,54.1,13,3.1,2,2586.25,0
5.2,65.1,1,2.8,4,2547.8,0
40.5,88.0,6,8.1,3,4007.73,1
19.2,56.3,8,0.2,3,0.0,0
30.1,66.5,0,4.7,5,3854.29,0
4.6,74.0,10,2.0,4,1520.41,0
30.0,64.2,13,6.3,2,3675.1,0
48.6,59.9,15,3.6,2,4478.72,1
36.5,85.7,4,3.1,3,3220.5,0
39.6,99.7,12,0.4,5,2570.75,0
5.1,57.0,6,3.3,2,2447.29,0
30.2,89.3,19,0.3,3,1088.82,0
21.3,95.2,8,1.6,3,509.35,0
28.8,94.6,3,0.5,1,0.0,0
8.7,55.7,4,6.4,3,3337.41,0
40.5,76.9,3,6.5,1,4999.51,1
28.6,57.5,6,5.1,5,4008.25,1
35.8,79.2,16,5.8,3,3302.47,0
26.5,59.2,6,1.3,2,2096.06,0
1.4,64.8,18,2.0,4,2708.89,0
44.8,99.2,6,5.1,5,3308.51,0
48.2,82.4,10,3.4,3,4362.68,1
33.6,88.5,15,6.4,4,3405.36,0
35.9,58.8,8,9.5,5,5839.83,1
23.2,93.0,9,7.1,5,5581.83,1
46.7,92.5,11,9.0,5,5816.85,1
25.1,66.5,15,5.6,1,3251.75,0
1.1,80.0,13,7.7,2,6373.19,1
36.0,81.7,14,2.4,3,2616.91,0
36.2,96.2,12,7.4,1,5052.72,1
43.3,62.4,5,2.4,2,1655.18,0
15.2,81.7,17,1.4,3,3636.2,0
35.1,62.8,1,5.2,1,5040.62,1
1.8,91.5,7,8.8,5,7256.56,1
40.7,77.0,16,9.0,4,5216.31,1
3.3,68.8,1,4.2,4,4198.35,1
38.9,78.6,19,6.9,3,4749.71,1
39.6,68.0,18,6.1,1,5490.66,1
45.6,75.1,9,2.9,5,1279.88,0
48.8,84.1,14,3.2,2,2775.09,0
36.8,66.6,1,7.2,1,4389.35,1
46.0,58.3,19,6.7,2,4434.32,1
46.6,52.4,6,6.9,5,7088.8,1
33.4,65.3,1,1.7,3,2277.46,0
46.9,72.4,3,8.8,1,4458.43,1
21.1,84.5,19,3.1,4,2579.79,0
42.4,85.3,8,7.4,1,5028.13,1
46.3,86.4,11,7.3,5,5187.73,1
39.2,99.2,17,9.9,4,6834.22,1
16.0,86.2,5,6.8,2,5132.16,1
47.3,71.2,15,2.9,5,3949.64,1
35.5,61.0,4,2.5,4,1722.51,0
28.2,67.9,13,8.6,2,5238.98,1
49.7,53.1,10,0.9,3,1941.01,0
8.0,79.9,13,3.2,2,3133.63,0
12.1,66.9,17,0.5,3,996.49,0
16.6,81.3,4,9.7,2,5441.24,1
35.2,61.9,11,7.5,4,6361.99,1
17.6,73.9,9,6.8,5,5125.32,1
37.8,60.5,3,9.2,1,3045.5,0
43.0,60.5,14,8.9,5,4186.0,1
32.9,73.9,17,6.8,2,6764.34,1
48.3,91.9,7,6.7,1,5378.39,1
24.7,65.6,17,8.2,5,7416.34,1
7.9,84.3,17,7.3,5,6064.3,1
39.0,56.7,15,4.7,2,2817.05,0
41.3,86.9,13,6.5,2,4818.62,1
24.8,67.2,13,2.6,2,1151.76,0
44.4,67.8,18,4.0,3,5094.67,1
17.6,94.8,12,4.3,1,2708.74,0
20.8,51.5,1,3.7,4,2301.4,0
36.9,88.3,8,2.6,3,1836.87,0
49.7,78.9,1,3.6,1,2700.69,0
45.8,52.2,15,0.3,3,985.79,0
12.9,91.8,19,1.7,2,5182.61,1
39.4,84.8,4,8.0,2,5135.24,1
15.5,55.2,12,9.2,3,4788.88,1
9.4,68.0,2,8.3,5,7059.08,1
36.4,75.3,11,8.6,1,5439.33,1
36.2,55.5,14,2.9,2,3121.17,0
20.3,78.6,14,4.9,1,2779.17,0
20.7,77.6,6,5.1,2,4469.01,1
49.8,74.8,10,8.8,5,6139.91,1
1.8,56.2,1,0.7,5,1294.65,0
14.7,82.0,14,8.1,4,8105.06,1
30.8,92.1,13,7.3,5,5555.72,1
34.3,69.6,14,1.5,5,3190.44,0
10.2,90.4,12,9.1,5,4713.86,1
38.2,86.4,0,2.2,3,2671.46,0
38.5,60.4,15,0.3,2,1227.72,0
8.7,89.2,0,6.9,3,4358.03,1
0.9,59.5,1,4.4,5,4020.35,1
35.6,77.5,4,8.8,3,5532.24,1
25.1,56.9,3,8.7,3,5313.54,1
33.2,67.2,11,7.2,1,5969.6,1
30.1,75.9,16,7.1,3,4623.87,1
21.3,62.4,10,1.2,3,1468.56,0
10.8,82.0,0,3.6,1,2045.85,0
27.1,70.2,10,9.9,1,6764.75,1
17.3,52.8,4,8.0,1,3801.89,0
32.4,71.1,10,2.0,1,2470.38,0
49.1,91.1,10,6.2,4,3671.12,0
14.0,63.1,19,9.3,1,6324.13,1
26.9,50.9,1,4.5,3,2788.51,0
15.7,93.0,16,2.0,4,3729.53,0
22.4,72.5,10,4.4,4,3712.76,0
34.4,54.8,4,4.7,2,4270.97,1
39.3,97.5,4,5.9,2,3423.01,0
18.2,84.8,16,4.8,1,3510.52,0
27.5,75.5,4,4.3,4,4409.81,1
28.1,66.0,10,4.1,4,2504.22,0
38.7,70.3,10,5.0,4,3503.28,0
4.0,71.8,17,4.6,5,2356.09,0
37.0,99.9,15,3.7,1,2631.13,0
3.5,79.6,18,9.6,5,5935.73,1
35.6,67.5,14,8.5,1,5631.04,1
21.8,67.1,9,5.8,4,5407.49,1
1.5,62.7,15,9.9,5,9101.47,1
9.0,76.7,17,5.9,4,4869.55,1
31.4,58.6,0,6.3,5,3712.41,0
15.9,94.8,5,9.6,1,3887.33,1
0.7,78.7,13,5.2,1,5442.4,1
22.9,61.5,16,9.6,5,7794.51,1
9.7,58.7,13,4.1,4,3415.54,0
7.4,63.6,13,0.9,1,2161.1,0
30.6,60.0,13,8.3,3,5004.61,1
22.4,73.7,8,3.9,4,2523.72,0
10.5,93.0,13,1.0,5,2057.95,0
18.7,77.8,8,9.5,3,5511.46,1
42.3,59.9,14,3.4,3,3137.46,0
31.5,51.4,8,1.0,3,3099.51,0
2.9,52.6,15,7.2,1,3951.79,1
42.4,95.0,10,2.4,2,2138.95,0
1.6,82.3,16,7.5,5,5383.2,1
19.4,94.2,7,8.4,3,6776.08,1
34.9,90.4,17,9.5,2,7589.66,1
4.5,51.3,3,0.3,2,841.58,0
5.8,98.5,2,0.0,4,314.28,0
28.7,91.2,1,8.9,1,5668.97,1
10.5,89.4,7,6.8,3,5013.5,1
30.8,99.6,7,6.2,4,5030.56,1
17.1,69.4,18,5.4,4,5844.35,1
32.8,76.1,14,8.4,5,7908.48,1
16.6,71.3,6,6.0,5,5036.02,1
5.1,99.1,15,9.5,2,6851.64,1
15.7,68.1,19,6.7,2,3842.01,0
42.6,92.2,19,3.5,3,3102.39,0
13.1,51.1,19,3.9,2,4084.73,1
16.1,77.5,0,3.9,2,1154.77,0
36.0,65.0,2,8.3,5,7789.24,1
14.3,57.9,10,4.3,5,4757.47,1
30.4,68.9,10,0.8,5,1681.43,0
49.5,73.0,12,7.9,2,5599.26,1
37.8,56.1,6,6.3,1,4390.04,1
46.3,65.3,4,4.5,2,3939.76,1
6.0,65.5,19,5.0,5,5954.34,1
25.2,95.0,5,0.8,4,1477.8,0
20.2,93.0,3,2.0,4,1605.82,0
36.5,70.8,13,0.2,1,562.44,0
27.0,64.5,5,0.3,4,537.17,0
7.5,96.1,19,8.5,4,5982.91,1
15.0,56.7,1,8.8,4,4388.83,1
11.7,54.6,9,0.5,5,2757.66,0
14.1,70.9,19,0.2,4,1459.76,0
47.9,88.9,1,5.5,5,4862.4,1
34.3,63.6,1,4.5,4,3100.4,0
34.3,68.7,18,1.2,4,1037.51,0
19.2,69.2,2,5.4,4,2802.63,0
30.4,89.3,1,1.1,2,2198.41,0
4.0,84.9,14,2.2,1,3405.45,0
13.0,68.1,12,9.9,3,6459.69,1
1.3,76.4,2,9.6,3,5676.39,1
46.1,57.5,0,8.9,2,6780.53,1
46.3,56.3,13,2.3,4,1854.3,0
45.2,79.1,0,0.7,4,2091.77,0
17.8,50.2,5,5.1,2,3936.97,1
20.2,67.1,19,9.7,3,6409.56,1
44.8,66.6,19,2.6,1,2740.56,0
1.3,87.4,11,5.4,1,3320.88,0
43.4,61.5,19,6.8,1,5546.31,1
31.7,73.0,0,3.7,4,2830.79,0
25.2,58.2,7,9.7,1,4475.39,1
28.6,75.0,16,6.3,1,4969.92,1
38.0,84.3,18,8.4,4,6314.54,1
32.8,94.3,13,4.9,1,4163.85,1
27.4,74.9,5,0.1,3,2353.38,0
19.6,65.4,1,1.8,5,0.0,0
31.8,88.2,5,3.7,3,2673.89,0
47.6,90.7,15,3.6,4,3073.41,0
44.8,52.6,6,6.2,3,3184.32,0
3.3,62.2,0,3.7,5,4004.29,1
45.6,59.4,8,5.4,2,4170.7,1
37.9,57.9,4,3.3,1,2054.62,0
30.8,63.1,16,5.4,2,1707.65,0
28.8,58.2,2,10.0,3,6117.71,1
13.6,75.6,13,2.4,1,3035.5,0
44.1,72.2,11,7.4,4,4757.26,1
34.9,62.6,3,2.7,3,481.84,0
19.5,85.5,9,0.2,4,1209.59,0
20.1,94.2,19,7.6,1,5980.47,1
42.6,84.4,4,3.6,2,3077.85,0
41.0,76.5,1,5.7,4,4392.53,1
4.0,64.3,1,6.7,3,5408.6,1
3.8,50.7,15,6.0,2,4444.43,1
30.6,78.7,13,0.1,5,2505.35,0
38.2,92.9,17,0.2,2,2534.52,0
34.9,95.3,13,4.3,2,3359.72,0
17.4,73.0,14,4.5,2,5021.62,1
45.5,85.4,15,9.3,3,5596.85,1
31.6,95.1,15,8.5,5,5952.12,1
9.3,52.2,2,7.9,2,2554.62,0
26.2,65.0,5,5.1,4,4116.04,1
25.9,80.4,17,8.1,5,5330.91,1
30.9,98.0,2,2.5,5,4013.46,1
7.6,92.2,18,3.9,5,3486.92,0
16.4,73.0,19,6.3,5,5385.65,1
19.3,62.8,5,5.6,5,6680.03,1
8.4,57.3,3,1.2,4,688.54,0
3.9,63.6,14,8.7,3,4571.63,1
17.5,83.9,13,7.0,2,3519.06,0
38.8,79.5,10,7.9,3,6078.76,1
15.8,66.0,12,7.7,4,3162.17,0
15.8,87.1,12,7.4,1,4264.5,1
47.8,94.1,5,1.3,4,3273.78,0
5.7,76.6,15,9.7,3,5673.03,1
10.5,70.4,13,5.5,5,1666.41,0
12.0,98.6,2,0.5,3,2253.9,0
22.7,80.2,8,9.3,4,5878.26,1
19.3,89.9,0,7.4,1,5472.22,1
19.7,97.8,4,3.1,2,2371.71,0
7.3,78.3,6,8.4,4,6398.23,1
30.7,71.3,11,5.2,3,2564.99,0
10.4,68.6,18,1.1,5,2816.34,0
36.3,57.1,12,9.5,1,5107.29,1
31.3,80.5,19,7.3,2,5385.75,1
43.1,80.4,18,9.2,3,6378.05,1
40.0,89.9,8,1.1,3,3325.76,0
37.8,61.2,15,1.4,4,2315.88,0
48.9,76.7,13,6.1,1,5340.7,1
19.3,87.1,11,6.8,1,4394.45,1
22.6,85.8,4,9.4,5,3760.88,0
19.7,75.3,6,5.0,1,5408.83,1
39.1,94.9,18,10.0,2,5375.86,1
46.0,87.7,8,8.7,3,8624.77,1
49.7,88.4,7,7.5,1,3794.64,0
7.0,61.9,11,7.9,4,5710.34,1
16.2,61.0,18,6.8,3,6511.38,1
5.9,74.2,16,7.4,4,5974.74,1
2.0,58.5,17,1.5,1,2131.44,0
19.2,57.6,18,5.5,4,4902.38,1
46.2,70.3,3,2.5,1,2880.55,0
19.7,79.6,1,7.0,1,3782.36,0
36.6,87.7,7,5.3,2,4975.2,1
46.2,79.2,15,1.0,5,2616.46,0
10.7,89.3,7,4.8,3,2613.56,0
1.9,96.1,8,8.6,5,6321.34,1
33.8,64.5,14,1.4,2,1533.75,0
26.9,84.7,5,0.9,5,1473.87,0
17.5,65.9,15,3.6,4,3543.82,0
20.9,83.3,7,2.3,4,2529.14,0
41.2,87.5,19,5.3,2,2723.45,0
33.4,54.5,8,9.0,5,7705.85,1
19.3,89.7,18,2.4,3,3121.82,0
17.3,68.1,7,0.8,5,1265.73,0
11.6,67.5,6,9.5,2,5089.67,1
38.3,86.1,19,8.9,2,6776.22,1
9.7,59.5,15,5.5,4,4354.48,1
15.1,79.4,19,8.6,1,6450.25,1
10.8,57.2,2,4.2,2,3475.76,0
44.3,66.2,11,6.2,1,3045.92,0
25.4,75.9,3,5.9,5,4983.37,1
7.1,78.9,9,7.0,5,4518.56,1
30.1,62.5,13,7.0,3,5908.85,1
13.0,75.3,11,5.7,1,4057.75,1
9.2,85.6,1,3.0,5,3070.48,0
43.5,93.7,2,8.8,3,4812.34,1
13.4,93.8,1,3.9,5,4753.08,1
41.8,98.9,4,8.8,3,6695.55,1
42.6,82.7,3,7.6,4,4767.75,1
20.8,65.2,12,2.6,2,2347.34,0
26.8,96.2,6,4.1,3,5542.03,1
21.6,94.8,2,7.8,5,4116.93,1
9.0,86.1,9,4.4,2,4490.22,1
22.2,87.9,10,8.1,1,5004.8,1
8.5,57.0,0,3.4,4,967.14,0
17.7,50.7,9,4.7,1,3615.06,0
49.8,74.1,10,3.7,2,2730.27,0
14.0,75.7,3,0.6,3,405.73,0
15.3,66.3,19,0.5,1,1181.06,0
7.8,80.9,8,5.7,2,5465.99,1
18.5,63.5,11,5.4,4,4182.01,1
32.7,85.8,10,5.0,4,4185.65,1
31.5,56.0,3,9.6,4,4469.59,1
17.7,65.9,9,0.9,3,2837.58,0
10.7,69.0,11,5.9,2,5141.41,1
38.5,93.6,2,1.6,3,2313.87,0
16.3,94.7,17,5.5,4,3311.83,0
1.1,58.5,17,4.5,1,3103.15,0
0.2,84.1,3,4.3,5,3479.8,0
35.8,94.7,8,3.8,3,3792.57,0
49.5,50.5,19,8.8,4,6706.69,1
32.1,90.8,11,8.8,3,4424.74,1
22.2,83.8,10,4.6,1,4459.68,1
22.7,75.6,2,1.2,2,1854.67,0
49.6,78.5,8,0.7,1,2214.39,0
39.7,64.2,11,6.2,1,4602.26,1
14.1,51.4,11,7.4,5,3842.98,0
15.4,64.4,6,3.1,1,3191.47,0
21.4,97.8,10,4.6,2,2479.08,0
33.9,84.3,16,1.8,5,3358.05,0
5.8,63.0,5,4.0,4,3497.98,0
18.2,91.3,14,3.0,5,3094.28,0
8.6,70.8,10,9.0,4,7374.45,1
44.4,97.6,12,0.2,4,2038.49,0
46.4,72.8,1,6.0,1,2063.18,0
16.0,97.2,17,9.7,5,6903.79,1
49.8,91.2,18,0.3,1,1165.74,0
34.9,92.7,6,6.9,2,4590.87,1
4.0,85.0,12,9.2,2,4105.14,1
37.3,90.6,15,8.6,5,6455.55,1
10.5,97.3,15,2.2,1,1135.71,0
6.6,70.9,11,5.0,2,6272.16,1
1.0,72.8,13,3.4,5,3714.24,0
40.6,51.7,8,4.4,1,4083.85,1
44.8,68.7,7,7.9,2,4697.26,1
5.6,74.2,5,6.6,2,3198.44,0
24.4,92.3,11,3.8,5,2947.7,0
48.5,82.9,12,9.2,5,7411.28,1
14.0,67.6,19,2.6,1,2031.25,0
47.1,98.4,17,7.9,3,7846.65,1
31.9,86.2,16,0.1,4,2889.77,0
5.2,83.3,4,5.9,1,3315.21,0
16.1,74.4,1,3.0,4,3901.54,1
14.3,66.7,14,4.2,3,4364.48,1
15.6,96.0,6,7.4,2,3332.28,0
10.2,77.0,0,3.6,1,2186.76,0
24.9,60.1,4,3.0,5,661.84,0
31.6,59.4,17,8.5,4,5341.41,1
45.5,90.9,19,5.9,2,6777.84,1
25.8,53.9,4,6.1,1,4468.97,1
28.7,83.8,17,0.8,4,1257.53,0
10.8,94.4,16,2.0,5,5670.37,1
37.1,83.0,2,4.8,2,4956.11,1
8.7,55.0,2,1.9,2,1029.98,0
36.7,93.6,13,1.0,5,881.03,0
27.7,60.1,16,5.9,3,3273.09,0
4.5,95.3,8,8.8,2,3899.25,1
24.8,90.6,9,4.7,1,4968.26,1
14.4,61.4,16,4.7,5,2674.19,0
38.9,56.1,4,4.2,3,2335.99,0
44.0,67.0,7,9.2,2,2649.47,0
21.2,88.5,3,0.4,2,2895.02,0
32.8,72.4,2,0.8,4,186.57,0
43.9,90.5,8,4.6,4,3192.6,0
30.1,63.8,17,8.3,5,7016.74,1
30.9,73.8,13,6.4,2,5836.26,1
22.0,71.7,7,4.9,1,3184.66,0
21.6,96.7,1,3.7,2,2451.36,0
34.5,79.3,15,2.6,4,1073.61,0
25.1,81.0,2,9.7,4,5673.47,1
37.9,77.0,2,9.8,5,7663.81,1
44.4,58.0,0,3.9,2,2747.51,0
33.6,93.4,6,2.0,2,2590.43,0
17.1,54.1,12,3.1,3,1494.72,0
39.9,93.3,4,9.1,2,5441.25,1
7.8,53.6,3,8.9,3,5788.27,1
19.0,53.6,16,2.6,5,3110.16,0
9.0,59.4,0,0.5,1,922.97,0
8.5,70.8,9,3.6,1,3500.82,0
30.8,52.1,4,9.0,4,6821.84,1
47.6,55.3,13,4.4,2,726.95,0
27.6,59.2,1,3.9,1,2383.07,0
19.5,72.3,15,3.6,5,3720.75,0
33.8,79.0,10,0.2,3,1797.54,0
43.6,77.4,12,7.5,3,4919.26,1
30.5,68.2,6,0.1,4,1127.26,0
20.2,79.5,8,4.1,3,4030.33,1
3.4,71.3,0,4.4,1,2764.86,0
19.1,65.5,5,7.3,3,6598.64,1
47.9,79.8,12,7.5,2,4779.06,1
15.3,75.3,2,8.5,2,4124.58,1
23.3,91.3,7,9.0,5,6451.91,1
24.4,59.0,15,1.1,2,3542.69,0
43.4,98.8,18,1.7,3,2649.86,0
38.6,51.6,6,6.9,1,3643.03,0
0.6,68.9,18,1.6,2,1868.82,0
18.1,66.8,0,9.5,5,6141.93,1
13.7,88.0,15,2.4,3,4952.9,1
43.8,66.3,9,6.1,4,4976.45,1
48.1,78.6,13,4.5,5,5025.1,1
49.4,55.3,10,2.7,3,4606.09,1
13.9,93.9,13,0.5,2,2441.9,0
36.6,52.3,3,3.7,5,3836.47,0
38.1,94.1,16,4.6,5,3278.15,0
36.1,89.9,12,4.3,2,4735.56,1
2.6,58.6,18,2.9,1,4026.16,1
23.7,79.7,17,4.3,2,5105.0,1
1.0,81.4,7,4.1,4,2126.68,0
15.1,59.5,19,6.0,5,5015.35,1
12.5,69.3,12,4.3,1,3336.34,0
37.6,94.7,12,1.0,2,4305.54,1
49.5,88.4,4,3.3,4,2544.63,0
9.2,85.3,11,8.7,3,6046.09,1
6.2,91.5,17,2.3,4,3596.92,0
1.2,98.3,19,8.3,3,6149.08,1
44.5,62.3,12,9.8,5,7164.58,1
40.2,76.2,18,0.1,4,390.93,0
41.0,59.4,0,9.0,2,3511.2,0
11.1,68.2,10,6.7,5,3371.5,0
24.6,63.4,5,6.9,2,4524.32,1
48.6,53.0,6,7.6,2,3457.41,0
5.9,78.9,7,2.0,2,281.4,0
24.3,78.3,15,7.4,2,5395.51,1
16.1,85.4,17,1.2,2,1302.57,0
38.2,73.5,5,6.6,5,4556.54,1
0.6,57.5,7,9.7,4,6257.56,1
43.8,65.3,9,5.0,4,5268.93,1
14.6,77.0,16,0.6,4,2550.9,0
1.4,72.8,18,2.1,1,2564.19,0
0.7,58.0,0,5.1,4,4055.55,1
41.4,79.5,2,0.6,4,1689.26,0
7.5,95.1,0,5.3,5,2777.57,0
27.5,52.1,2,5.7,5,4983.51,1
14.9,87.5,14,6.9,2,3057.93,0
11.0,77.5,7,4.9,4,4163.32,1
42.0,77.3,11,9.5,2,7418.96,1
20.8,94.6,0,5.5,5,4806.61,1
45.4,95.7,12,3.1,5,4413.16,1
48.4,87.6,7,5.4,4,5041.6,1
31.9,57.9,4,3.3,2,2381.54,0
17.4,83.5,11,3.6,3,3106.27,0
41.6,81.0,5,3.2,5,3753.36,0
0.4,55.2,19,7.0,1,5305.39,1
32.9,55.5,19,2.6,1,3001.7,0
18.1,58.0,18,1.8,3,662.3,0
28.6,87.5,11,7.5,5,5862.54,1
49.1,66.3,6,8.0,4,5280.6,1
17.3,56.7,9,1.9,5,4039.32,1
43.3,80.6,17,4.7,2,5429.72,1
19.2,51.7,11,8.1,1,4896.09,1
44.9,99.9,6,9.0,1,4210.59,1
4.6,69.5,7,3.3,1,2600.61,0
17.0,94.4,16,0.1,2,742.74,0
44.1,84.7,14,2.4,2,1399.49,0
12.4,99.7,4,5.4,5,4480.07,1
25.6,98.5,14,3.4,2,2616.74,0
4.6,57.3,0,6.0,5,4901.55,1
38.2,74.1,11,0.3,5,723.41,0
11.0,91.4,19,9.0,5,8332.53,1
7.4,55.7,5,4.0,3,2279.66,0
34.4,96.4,9,4.5,1,2674.16,0
37.3,96.2,4,8.0,5,6668.88,1
45.8,75.7,2,6.3,4,6137.05,1
47.2,52.1,4,3.5,3,1330.09,0
40.0,80.1,13,7.1,1,4402.73,1
25.2,64.3,15,5.2,5,4117.58,1
47.7,58.2,17,7.9,2,5348.8,1
24.6,64.6,16,3.2,1,2628.51,0
22.4,69.2,13,4.4,4,4513.94,1
45.2,65.3,1,4.5,1,2908.97,0
43.4,65.2,14,1.2,4,3167.8,0
41.5,86.1,14,7.1,3,5839.39,1
31.6,57.7,19,5.2,1,5176.98,1
43.6,75.5,17,5.8,3,4338.36,1
15.1,55.9,10,9.3,5,6982.38,1
0.8,95.8,14,2.6,5,4093.95,1
17.6,58.6,2,8.5,5,6569.74,1
26.9,56.3,10,9.7,3,7114.03,1
47.5,81.1,7,3.6,5,3434.99,0
2.7,78.3,0,9.7,4,5401.83,1
